overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,False,"03 27, 2015",A35T1X6MXUJ0VO,B00KME8K9C,Josean Rodriguez,This is the worst battlefield yet I think first person shooter is getting old they nee reconfigure the completely  it needs mayor overhaul maps but specially the game play some time s you be running around disoriented  not knowing what to do too much running around looking for people bad save your money!,This is the worst battlefield yet I think first person shooter is getting ...,1427414400,,{'Format:': ' Video Game'},
1.0,True,"02 5, 2015",A2WCWURD1MU5Y,B002BH3N2W,Samantha,I gave this as a gift for Christmas and it was returned to me because it never worked. Disk was scratched upon receipt and seller refuses to replace. BUYER BEWARE!!!!!,BUYER BEWARE,1423094400,,{'Format:': ' Video Game'},
1.0,False,"10 26, 2004",A29VM84ZDEMCDN,B00006910J,Radem44,"Can't get this program to work with Windows XP at all. Screen goes black and locks up the computer. Atari does not offer any kind of patch to fix their program, but suggests you open Windows Task Manager and start shutting down all the background program on your computer to eliminate conflicts. Sorry, but I'm not shutting down my anti-virus, anti-spyware and firewall programs to play a stupid video game!",Worthless--Do not buy if you have Win XP,1098748800,11,,
1.0,True,"09 23, 2017",A3B4QQTV3RF77A,B017AGIDV4,John Lesnar,One star is because the product arrived without the disk and manual..,No disk.,1506124800,2,{'Format:': ' Video Game'},['https://images-na.ssl-images-amazon.com/images/I/81yaL92C9lL._SY88.jpg']
1.0,True,"06 1, 2017",A1XNZZ3UJO07LE,B00NQHO7SK,retro_r,"I used to love this headset, but the mic no longer works. The light is on for the mic (and can be turned off/on with the switch), but no audio is recorded. I tried contacting Sentey but they are ignoring me. What can I do?!

(update 6/19/17 - dropping to 1 star out of 5. Reason is not the mic issue but that Sentey is completely ignoring my questions on their website or via email. Extremely poor customer service)",mic died :(,1496275200,,{'Color:': ' BLack'},
1.0,False,"11 10, 2011",A2NFBX8HW20EC3,B005WXIO44,srf22204,"Purchased this game November 9, 2011 from a Target in Chicago for 39.99.  On the box it says in the small print that Steam is required for registration and references the requirements of the SSA.  Made no mention of the fact that Steam was required to actually play.

I purchased this to play on the road for downtime in the evenings.  (I travel for work so am very busy in the day but am basically chilling out in the evenings.)  Using the standard slow hotel wireless connections to access Steam makes this game unplayable. (Game will start in 4.5 hours) Had to return.  I never have used Steam before so if I am missing something, please let me know.  Thanks.

Hope this helps others.",Warning: Must have Steam to play this game,1320883200,7,{'Platform:': ' PC'},
1.0,True,"10 5, 2017",A2N9NB43BUP5LH,B00ZB7W4QU,Patricia,I need a return label that I can not print one out,One Star,1507161600,,,
1.0,False,"07 8, 2009",A2B7LZR9QSIB2B,B001C3N0OW,Eartha1973,Search and find games help me relax but this one just gave me eye strain and a headache.  The picture is muddy with no definition and sometimes just a part of the object is displayed. I've zoomed in and out trying to make out the pictures to no avail.  I loaned it out to a friend and she felt the same way. It is more of a guessing game than a game of skill.,Guessing Game,1247011200,3,,
1.0,False,"08 3, 2009",A1C40G2JQ541Z8,B001S86IRC,Apollo legend,"I Have been playing this game for years now, even before it was called NCAA football, but it has really continued it's downward spiral. Last years was the first year i ever bought the game and sold it a week later, this year i will do the same. For some rason you can change the buttons to the way you have grown to know them which makes it hard to play. the defense seems robotic, you don't know who is really playing you or the computer. I play this game in dynasty mode. The recruiting is awful and you have to buy add-on from the PSN store. I guess it's time to bring back gamebraker beacuse NCAA has hit rock bottom. For the people who are giving this thing a 5 star reviews then they never knew how to play the game in the first place. last year the ps2 version was better than the ps3 version.",The end has come,1249257600,8,{'Format:': ' Video Game'},
1.0,False,"11 30, 2014",A1SFAP2I20AXB,B00M35YLLY,Bryan Stillman,Scalper,One Star,1417305600,,,
1.0,True,"09 8, 2014",A29Y9CNU5PBANN,B000ZK695U,Linz &amp; Mike,"Crap game, you can create your own character but its pointless since he/she doesn't talk or even appear in the cinematics of the game. The game's servers went down many years ago, so playing online is no option. So you're stuck in a linear 1 dimensional single player campaign with a created character that doesn't speak or affects the story in any way.","Crap game, you can create your own character but ...",1410134400,,,
1.0,True,"11 17, 2016",A2OGSQY92IZQBD,B00TKLFES8,Boss239,"Fightpads suck. They all suck. Why is it so hard to make a quality fightpad with a great d-pad? Just get a SCUF controller or a fight stick if you're willing to take months to become proficient at it. All fightpads are a waste of money. Bought the Madcatz and this one I returned them both. Don't waste your time or money and don't believe the reviews from gamers on YouTube, they're being paid to review it.",Fightpads suck...,1479340800,2,,
1.0,True,"04 2, 2017",A1FJ0ML70OXA2X,B008U2XE9O,Christina,Broke fast,One Star,1491091200,,{'Color:': ' Purple'},
1.0,True,"09 1, 2015",A211TA5FKD374K,B00KF7BEFS,iamgadgetman,Game sucks. Back it went.,Booooo.,1441065600,,{'Format:': ' Video Game'},
1.0,False,"05 7, 2004",A1PX8HKIMRGCVE,B000083GIV,Sherry Rice,Half of the time your A STUPID TAXI DRIVER  CARS ARE REALLY SLOW LIMITID WEAPONS LOAD TIMES ARE SLOW A WERY BAD GAME,waste of money,1083888000,,,
1.0,False,"11 21, 2014",A372BH7NEUO46S,B00KM66UJ2,Reviewer,"First, don't be fooled by all the five star ratings. These are the people that bought Pes 14, which is possibly the worst soccer game developed. Anything slightly better is five stars. I bought fifa 15, and sold that game in a week. The scripting makes it unplayable. I decided to get pes 15 because of the high expectations, and unfortunately, it sucks just as bad. Defending is broken. The manual says triangle to pressure, but all it does is bring out the goalie. Konami needs to check its content, I guess? So, no idea how to defend, despite practicing. Square doesn't work, and neither does circle. So, I guess I will keep sliding like Im playing NHL. The passing system is inacurate. World class players cannot complete a pass of two yards. Konami, even I complete harder passes than that, and I don't think Im a pro. Then there is the stuttering. Press a button, and you need to wait three seconds before the players react. This is soccer, there should not be a delay. Online play is worse than fifa. Stuttering is common, and when you finish a game, prepare to wait an hour before your next one.
One star is too much for this game. Its basically fifa, without the scripting. We need a new company like 2K sports to enter the soccer market. In the meantine, I will enjoy NBA 2K15, which is clearly the sports game of the year. I don't know how this garbage won. I guess because soccer is popular.

By the way, how do you license the brazilian teams, and not the players in them?",Almost as bad as fifa,1416528000,3,{'Format:': ' Video Game'},
1.0,False,"06 23, 2002",A3KRWU9KOJHN02,B00004R9IC,Craig Juan,"I'm a big time 2D fighting veteran and I can tell which fighter is worth playing all over and which is worth ditching. Marvel VS Capcom for the PlayStation is an example of one of those 2D fighters that needs to be ditched. But don't get me wrong ! I actually liked the game...on the Dreamcast and arcade. The PlayStation version of Marvel VS Capcom is just swarming with a whole lot of flaws. Trust me ! This is not arcade perfect ! Most of the times, arcade translations that go to the PlayStation come out imperfect like this one. The graphics are just horrible ! Sure the characters and stages look colorful, but if you pay attention to the framerates of the animations, you'll notice that the characters don't move smoothly or move faster. The audio, sounds great. Music tracks and sound effects are brilliant, but nothing special at all. And as for the gameplay, just horrible. And the lack of a tag feature ? Now this is really going overboard ! Just like in Marvel Super Heroes VS Street Fighter for the PlayStation, you have to call up your character to do a one-hit special move. If you want the tag feature, you'll have use the cross over mode, but this feature doesn't emulate the tag features on the superior arcade and Dreamcast versions. The controls could've been slicker, but instead, it ended up choppy. It seems that the PlayStation controller was not meant for great games like this. All in all, the PSX version of Marvel VS Capcom is a big letdown. Choppy animation, choppy controls, lack of a tag feature, and long loading times during the beginning of each fight really makes this game look like a zero. If you want the real Marvel VS Capcom experience, I'd say buy the Dreamcast version of Marvel VS Capcom or spare a few quarters or tokens to play the arcade version. The DC version of Marvel VS Capcom featured flawless animations, awesome graphics, hyper fast controls, no loading times, and a tag feature. Now that's an arcade perfect translation of one of the best 2D arcade fighters of all time ! The DC version is definently worth the money and worth your time ! Please ! Whatever you do, avoid the PSX version ! This version of Marvel VS Capcom is a disgrace to Capcom's ever expanding lineup of 2D fighters ! Not really something to use your money on !",You've gotta be kidding me !,1024790400,,{'Format:': ' Video Game'},
1.0,False,"10 28, 2014",A1ZR8AIM298DFT,B00DB84XQK,Edward Nigma,Insomniac has definitely fell off. This game needs more polish. Hopefully insomniac steps it's game up because this game is not great by any means.,wow....just wow,1414454400,11,,
1.0,False,"04 10, 2016",A3SF4HPCLFC2GI,B01DAHALNU,Mannjon,"Automatron: the $9.99 method of making your copy of Fallout 4 permanently broken.

That really aught to say it all, but I though I would provide a helpful additional review to those who are willing to risk losing all your previous progress.

Let me start by saying this: If you are going to try to make it through the whole DLC, make about 8 save game copies. You'll need them all and additional luck to beat this DLC. What do I mean? I'm not Bethesda n00b. C'mon, Bethesda practically means game breaking glitch. I had about 4 different save game files when I started Automatron. When I got to the final battle, the game froze forcing me to close the software. I thought ok, this is a short DLC (and it is just as others have stated), I'll start again because this save game is wrecked. Save #2 had the same results. It worked until the final fight, then perma-froze. I almost got through the last time, but it froze none-the-less. I started over again despite being so pissed off that I wanted to sell the game, get a refund from Bethesda, and sell my PS4 (ok not really, but still). Guess what? Save #3 had the exact same result.

As of right now, there is no fix, no work-around, and no solution in sight. I've heard of others with the same problem and it would seem you have about a 50% chance of beating the DLC without encountering this game breaking glitch. You can always just not finish the DLC story, but who wants that? Chances are there may be some future fix, but I approach actually playing this dlc with caution. Assuming you don't actually want to risk it, you can still get a lot of cool stuff from this DLC. Building Robots is awesome.

As the matter of fact there are new uniques, access to a full X-01 suit, and two new locations, but at this point the PS4 release is just too buggy.","Great New Benefits, Awful New Gamebreaking Glitches",1460246400,,"{'Edition:': ' Automatron Add-On', 'Platform:': ' PS4 Digital Code'}",
1.0,True,"06 24, 2013",A4K1D2XSEV0FA,B000VRCNLG,ROBERT ROUSE,I chose this rating because it's the lowest I can give it. IT  is not nowhere near micro soft air combat I bought years ago. I would have expected better in 2013.,sorry product,1372032000,,,
1.0,True,"08 11, 2014",A1FC3IWMZW4BSO,B00GBCLG0E,MetalCore,Included Game is no good.,Included Game is no Good.,1407715200,,,
1.0,False,"07 28, 2007",A3V9ZQ7GGN56VJ,B000B43OY4,Amazon Customer,"First of all, the name XBOX360 is a misnomer.  This product should be called the XBOX180.  Because when you first buy this item, you are going to love it.  Give it a year and you are going to do a complete 180 and really dislike this thing.  I loved it and spent a lot of money on games and accessories, and now a year and a half later I am finally getting this wretched piece of electronic negativity out of my home for good.

Right out of the box, your hardware will eventually fail.  The only probability in this equation is the ""when"" component.  I played mine about 1 hour a day.  It lasted 13 months before I received a complete hardware failure.  The second ""refurbished"" unit they sent me didn't ever work, it was broke right out of the box.  The third ""refurb"" they sent me lasted for 2 weeks.  My brothers first unit lasted 2 months, his second was a dead on arrival, he's currently on his third.  I have other friends and this paragraph could go on and on, but to summarize, everyone I know that has owned a 360 has experienced it break.

But the product is unstable, fine.  But that's not all you get out of the 360.  You get to be treated rudely by an obnoxious twenty-something brat everytime you successfully navigate through the obnoxious robot hell that is 1-800-4MY-XBOX.  And you will be calling it a lot.  In fact, that is the only way to cancel your play-to-play online subscription.  Anyone that experienced the AOL-impossible-to-cancel-hotline will feel right at home.

Here's one of my favorites.  You have to pay for everything with ""Microsoft Points"" with are sold in $20 increments.  Want to play the remaining levels in that $59.99 game you just bought?  Not so fast, hotshot.  You need to log into the ""marketplace"" and pay for those last few withheld levels.  Want a new wallpaper?  Nuh uh uh... gotta pay first.  Change your gamertag?  That will be $20 more please.  The nickel and diming gets old really really fast.

But all those things you are buying are ""DRM'd"" to your console.  That means that *only* your console will be able to use downloads.  It's tied to your machine.  But the really cute part is that when your machine breaks, and they send you a refurb... yep, you guessed it.  Nothing works anymore and you get to pay for it all again.  And again.  And again.

This machine isn't fun, the Microsoft customer service will be smug and arrogant, and they pay-to-play model is Draconian.  Microsoft is running this show like they have a monopoly.  And they don't; there are much better consoles for the money out there.",Should Call This The XBOX180,1185580800,133,{'Edition:': ' Pro Console 20GB'},
1.0,True,"03 4, 2017",A138CNCSAV3OLJ,B00ZQBLNP4,Luky,"Why is this game such a nightmare to play? Don't get me wrong, I adore abstract artsy games, love Journey, liked Ico, Shadow of the Colossus is one of my favorite games of all time! I bought SOTC on ps2 and on ps3 hd, I have a poster of it hanging over my bed. I love puzzle games, and difficult games, I feel like I have a pretty high tolerance and don't get frustrated easily. My favorite series are dark souls and monster hunter, very obtuse and hard to get into games. I was even really excited for this game!

 But oh my god something about this game is just awful, its really a good case study on everything you should NOT do in good game design. It controls like trash, ai and models glitch out often, the camera is one of the worst I've ever seen, and the game shoves tutorial boxes on your screen for the entire game! Wow thanks game, I'm 10 hours in and I forgot how to jump!

I've tried sooo many times to take a break and come back the next day with a calm mind, but it doesn't matter when all you're coming back to is the same terribly game every time. I really wanted to love this game, and I still do! I love Fumito Ueda as a director but now I see the challenges he was talking about, he probably hates his own game more than I do! Now I see why this game took so long and was cancelled, because it should have STAYED CANCELLED!","I see now why this game got cancelled and took almost 10 years to ""finish""",1488585600,7,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
1.0,False,"11 27, 2014",A20SEVQ6ZDT7WN,B00CX9T598,Randygk78,This game was rented and I played it for a few days. It's premise was mediocre as was its storyline. It was definitely not one to buy. It's game play was very repetitive and monotonous. Boring!,"Boring game, don't waste your time.",1417046400,4,{'Format:': ' Video Game'},
1.0,False,"12 21, 2007",A1MRPX3RM48T2I,B000G0HJ3K,Trenton Bennett,"Imagine your child coming up to you in tears because ""Someone shot Sonic!  I was standing there and he died!  And his body was lying on the ground and I don't know why they shot him!""  This is what I get for not watching every minute of this horrible game.

My daughter and I have played every Sonic game we could get our hands on.  Some of them are wonderful, some were pretty awful, but THIS is the one I have to tell you about.  In the beginning, I was fascinated by this long, glossy, Final-Fantasy-looking cinematic.  But once the gameplay starts, it's a hideous awful disaster.  This Sonic game doesn't know if it wants to be a role-playing game or a 3D action game, but both are unbearable:  ""missions"" to wander around and figure out who to talk to (there's a ""puzzle"" that has no pattern, for example--you just talk to everybody until one of them coughs up an answer...but he lies to you the first time to make you go around again), and worst of all, levels where you tear along at a high rate of speed, and then plant face-first into death.  Touch the controls and screw everything up.  Don't touch the contols, and screw everything up.  If I tried to make a video of the gameplay, it'd be an endless montage of death after death, many of which you don't even know what you did wrong.  The only way to get through is to be a robot:  ""I pressed the X button last time, now let's see if Triangle does anything.""

New Game?  2 minute loading screen.  Lose all your lives?  2 minute loading screen.  Complete a level?  2 minutes, go make a sandwich or maybe play a better game while it loads.

Years later, I still can't wrap my head around how this game got created.  It's a colorful exercise in cruelty, and I can't see how it could do anything to Sonic fans but punish them.",Sega Hates Children,1198195200,5,{'Platform:': ' PlayStation 3'},
